CUI,STR
C1522449,Radiation Treatment
C0677850,Adjuvant therapy
C0001758,after treatment
C4289789,cfDNA
C4289789,Cell free DNA
C1521991,Molecular
C0206692,Infiltrating lobular carcinoma
C1134719,Infiltrating Ductal Carcinoma
C1516048,Assessed
C0338204,Herceptin
C0108779,CD3
C0039194,T-Cells
C0524469,Left shoulder
C0205358,Soft
C0225317,soft tissue
C0040300,tissue
C0040421,Palatine Tonsil
C0034001,Pterygoid muscle
C0279068,Solid Tumor
C0884358,Performed
C1549625,Ethnicity unknown
C0086528,Latino
C0239307,European
C0332196,Exclude
C1417836,NOT
C0037750,Spanish
C3639994,Discordance
C1707513,Copy Number
C0021044,IHC
C0002808,Anatomy
C0027627,Metastasis
C0807712,Recurrence date
C4744823,Metastatic Sample
C1953343,Chromosome number
C0015250,Complete Resection
C0205145,Site
C1515974,Anatomic Location
C0006802,CM
C0475210,centimeter
C0205390,Stage
C1521733,Pathologic
C0030664,Pathological
C1521801,Administered
C0445204,Pre-operative
C0600558,Neoadjuvant Therapy
C0205090,Right
C0004454,Axilla
C0038894,Surgery
C0205091,Left
C0011900,Diagnosis
C1373200,Order
C0439064,Multiple
C0282416,Overall
C1522508,Detailed
C0205435,1st
C0205435,First
C0332307,Type
C0011008,Date
C0205276,Local
C0699885,BLADDER CARCINOMA
C0005682,Bladder
C0132555,NOS
C0007097,Carcinoma
C0205281,Invasive
C0370003,Sample
C0439165,Percent
C0439810,Total
C1265611,Quantity
C0237753,Number
C0750480,Count
C0439673,Unknown
C0027361,Person
C1517741,Last
C0017428,Genomic
C0002778,Analysis
C0017296,GENETIC
C0030705,Patient
C0035168,research
C0004793,Sequence
C0282411,Comment
C0242939,adjuvant radiotherapy
C0034619,radiotherapy
C1515974,Anatomic Site
C0021044,Immunohistochemistry
C0034833,Progesterone Receptor
C0034804,estrogen receptor
C1335475,Primary Carcinoma
C1708790,Lymphovascular Invasion
C0439743,Multicentric
C0746319,Positive Lymph Node
C0025663,Method
C0589120,follow up
C0205462,Histological
C0449560,Subtype
